Country,Total_cases,New_cases,Total_deaths,New_Deaths,Total_recovered,New_recovered,Active_cases,Serious_critical,Cases/1Mpop,Deaths/1Mpop,Total_tests,Tests/1Mpop,Population,Area,Log_cases,Log_deaths,Label
Sudan,63787,,5011,,58462.0,24.0,314.0,,1387.0,109.0,562941.0,12240.0,45992020.0,Africa,11.06330468681515,8.519390774959724,1
Mauritania,63667,,997,,62439.0,,231.0,,12988.0,203.0,1009957.0,206030.0,4901981.0,Africa,11.061421653949045,6.904750769961838,1
Cabo Verde,63244,,413,,62771.0,,60.0,23.0,111408.0,728.0,401622.0,707482.0,567678.0,Africa,11.054755540430035,6.023447592961033,1
Bhutan,62620,,21,,61564.0,,1035.0,,79473.0,27.0,2303734.0,2923739.0,787941.0,Asia,11.044839994880396,3.044522437723423,0
Syria,57467,,3164,,54303.0,,0.0,,2968.0,163.0,146269.0,7553.0,19364809.0,Asia,10.958966148990834,8.059592328887545,1
Burundi,53609,,38,,53569.0,,2.0,,4246.0,3.0,345742.0,27386.0,12624840.0,Africa,10.889472243411273,3.6375861597263857,0
Seychelles,50665,,172,,50440.0,,53.0,,509575.0,1730.0,,,99426.0,Africa,10.832990615882418,5.147494476813453,0
Gabon,48981,,306,,48674.0,,1.0,,21008.0,131.0,1621909.0,695641.0,2331533.0,Africa,10.799187746794274,5.723585101952381,1
Andorra,47866,,165,,47563.0,,138.0,14.0,617921.0,2130.0,249838.0,3225256.0,77463.0,Europe,10.77616071925456,5.10594547390058,0
Papua New Guinea,46792,,670,,43982.0,,2140.0,7.0,5036.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania,10.753467527122861,6.507277712385012,1
Curaçao,45986,,295,,44720.0,,971.0,3.0,277812.0,1782.0,496693.0,3000640.0,165529.0,North America,10.736092281321946,5.68697535633982,1
Aruba,44026,,236,,42438.0,,1352.0,2.0,409129.0,2193.0,177885.0,1653068.0,107609.0,North America,10.692535647473276,5.4638318050256105,0
Tanzania,42823,,846,,,,,7.0,677.0,13.0,,,63298550.0,Africa,10.664830620408827,6.740519359606223,1
Mayotte,42004,,188,,,,,,146734.0,657.0,176919.0,618038.0,286259.0,Africa,10.645520130825885,5.236441962829949,0
Mauritius,41717,,1043,,40012.0,,662.0,,32726.0,818.0,358675.0,281374.0,1274727.0,Africa,10.638663998571394,6.949856455000773,1
Togo,39377,,290,,39074.0,,13.0,,4536.0,33.0,808297.0,93113.0,8680837.0,Africa,10.580937168488774,5.66988092298052,0
Guinea,38267,,467,,37757.0,,43.0,8.0,2760.0,34.0,660107.0,47607.0,13865691.0,Africa,10.552343184962949,6.1463292576688975,1
Isle of Man,38008,,116,,,,,,443335.0,1353.0,150753.0,1758422.0,85732.0,Europe,10.545551942866757,4.7535901911063645,0
Bahamas,37491,,833,,36366.0,,292.0,1.0,93607.0,2080.0,257839.0,643767.0,400516.0,North America,10.531856183153893,6.725033642166843,1
Lesotho,34790,,723,,25980.0,,8087.0,,15990.0,332.0,431221.0,198199.0,2175699.0,Africa,10.457085268145988,6.583409222158765,1
Faeroe Islands,34658,,28,,,,,5.0,703959.0,569.0,778000.0,15802409.0,49233.0,Europe,10.45328385820019,3.332204510175204,0
Haiti,34143,,860,,33044.0,,239.0,,2923.0,74.0,132422.0,11337.0,11680283.0,North America,10.43831286595,6.756932389247553,1
Mali,33018,,743,,32107.0,,168.0,,1538.0,35.0,795705.0,37055.0,21473764.0,Africa,10.404808146287813,6.610696044717759,1
Cayman Islands,31472,,37,,8553.0,,22882.0,1.0,467797.0,550.0,222773.0,3311280.0,67277.0,North America,10.35685354062884,3.6109179126442243,0
Saint Lucia,29882,,409,,29095.0,,378.0,,161426.0,2209.0,210983.0,1139752.0,185113.0,North America,10.30501157141103,6.013715156042802,1
Benin,27990,,163,,27825.0,,2.0,,2189.0,13.0,604310.0,47268.0,12784726.0,Africa,10.2396025825095,5.093750200806762,0
Somalia,27324,,1361,,13182.0,,12781.0,,1622.0,81.0,400466.0,23778.0,16841795.0,Africa,10.21552071585174,7.215975002651466,1
Congo,25375,,386,,24006.0,,983.0,,4377.0,67.0,347815.0,59991.0,5797805.0,Africa,10.141519716344089,5.955837369464831,0
Solomon Islands,24575,,153,,,,,1.0,34077.0,212.0,,,721159.0,Australia/Oceania,10.109484945015367,5.030437921392435,0
